,pokemon,final_evolution,final_help_interval,fruit,type,main_skill,final_evolution_step,carry_limit,ingredient,ingredient_num
1,妙蛙種子,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
2,妙蛙草,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
3,妙蛙花,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
4,小火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
5,火恐龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
6,噴火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
7,傑尼龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
8,卡咪龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
9,水箭龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
10,綠毛蟲,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
11,鐵甲蛹,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
12,巴大蝶,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
13,小拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,21,特選蘋果,1
14,拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,21,特選蘋果,1
15,阿柏蛇,阿柏怪,3700,零餘果,樹果型,活力填充S,2,19,豆製肉,1
16,阿柏怪,阿柏怪,3700,零餘果,樹果型,活力填充S,2,19,豆製肉,1
17,皮丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
18,皮卡丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
19,雷丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
20,寶寶丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
21,胖丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
22,胖可丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
23,地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,21,好眠番茄,2
24,三地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,21,好眠番茄,2
25,喵喵,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,17,哞哞鮮奶,1
26,貓老大,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,17,哞哞鮮奶,1
27,可達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,16,放鬆可可,1
28,哥達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,16,放鬆可可,1
29,猴怪,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,22,豆製肉,1
30,火爆猴,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,22,豆製肉,1
31,卡蒂狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,21,火辣香草,1
32,風速狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,21,火辣香草,1
33,喇叭芽,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
34,口呆花,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
35,大食花,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
36,小拳石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
37,隆隆石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
38,隆隆岩,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
39,呆呆獸,呆呆王,3400,橙橙果,技能型,活力療癒S,2,16,放鬆可可,1
40,呆殼獸,呆殼獸,3800,橙橙果,技能型,活力療癒S,2,15,放鬆可可,1
41,呆呆王,呆呆王,3400,橙橙果,技能型,活力療癒S,2,16,放鬆可可,1
42,小磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,23,純粹油,1
43,三合一磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,23,純粹油,1
44,自爆磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,23,純粹油,1
45,嘟嘟,嘟嘟利,2400,椰木果,樹果型,活力填充S,2,26,萌綠大豆,1
46,嘟嘟利,嘟嘟利,2400,椰木果,樹果型,活力填充S,2,26,萌綠大豆,1
47,鬼斯,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,28,火辣香草,2
48,鬼斯通,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,28,火辣香草,2
49,耿鬼,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,28,火辣香草,2
50,卡拉卡拉,嘎啦嘎啦,3500,勿花果,樹果型,活力填充S,2,20,暖暖薑,1
51,嘎啦嘎啦,嘎啦嘎啦,3500,勿花果,樹果型,活力填充S,2,20,暖暖薑,1
52,袋獸,袋獸,2800,柿仔果,食材型,食材獲取S,1,16,暖暖薑,2
53,凱羅斯,凱羅斯,2400,木子果,食材型,能量填充S,1,19,甜甜蜜,2
54,百變怪,百變怪,3500,柿仔果,食材型,能量填充Sn,1,13,純粹油,2
55,伊布,仙子伊布,2600,桃桃果,技能型,活力全體療癒S,2,20,哞哞鮮奶,1
56,仙子伊布,仙子伊布,2600,桃桃果,技能型,活力全體療癒S,2,20,哞哞鮮奶,1
57,水伊布,水伊布,3100,橙橙果,技能型,食材獲取S,2,18,哞哞鮮奶,1
58,雷伊布,雷伊布,2200,萄葡果,技能型,幫手支援S,2,22,哞哞鮮奶,1
59,火伊布,火伊布,2700,蘋野果,技能型,料理強化S,2,19,哞哞鮮奶,1
60,太陽伊布,太陽伊布,2400,芒芒果,技能型,能量填充M,2,21,哞哞鮮奶,1
61,月亮伊布,月亮伊布,3200,異奇果,技能型,活力填充S,2,19,哞哞鮮奶,1
62,葉伊布,葉伊布,3000,金枕果,技能型,活力療癒S,2,18,哞哞鮮奶,1
63,冰伊布,冰伊布,3200,莓莓果,技能型,料理強化S,2,17,哞哞鮮奶,1
64,菊草葉,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,30,放鬆可可,1
65,月桂葉,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,30,放鬆可可,1
66,大竺葵,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,30,放鬆可可,1
67,火球鼠,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,33,暖暖薑,1
68,火岩鼠,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,33,暖暖薑,1
69,火爆獸,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,33,暖暖薑,1
70,小鋸鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,29,豆製肉,1
71,藍鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,29,豆製肉,1
72,大力鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,29,豆製肉,1
73,波克比,波克基斯,2600,桃桃果,技能型,揮指,3,26,特選蛋,1
74,波克基古,波克基斯,2600,桃桃果,技能型,揮指,3,26,特選蛋,1
75,波克基斯,波克基斯,2600,桃桃果,技能型,揮指,3,26,特選蛋,1
76,咩利羊,電龍,2500,萄葡果,技能型,能量填充M,3,25,火辣香草,1
77,茸茸羊,電龍,2500,萄葡果,技能型,能量填充M,3,25,火辣香草,1
78,電龍,電龍,2500,萄葡果,技能型,能量填充M,3,25,火辣香草,1
79,盆才怪,樹才怪,4000,文柚果,技能型,能量填充M,2,15,好眠番茄,1
80,樹才怪,樹才怪,4000,文柚果,技能型,能量填充M,2,15,好眠番茄,1
81,小果然,果然翁,3500,芒芒果,技能型,活力療癒S,2,15,特選蘋果,1
82,果然翁,果然翁,3500,芒芒果,技能型,活力療癒S,2,15,特選蘋果,1
83,赫拉克羅斯,赫拉克羅斯,2500,木子果,技能型,食材獲取S,1,15,甜甜蜜,1
84,戴魯比,黑魯加,3300,異奇果,樹果型,能量填充S,2,21,火辣香草,1
85,黑魯加,黑魯加,3300,異奇果,樹果型,能量填充S,2,21,火辣香草,1
86,幼基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,29,暖暖薑,2
87,沙基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,29,暖暖薑,2
88,班基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,29,暖暖薑,2
89,懶人獺,過動猿,3200,柿仔果,樹果型,食材獲取S,3,17,好眠番茄,1
90,過動猿,過動猿,3200,柿仔果,樹果型,食材獲取S,3,17,好眠番茄,1
91,請假王,過動猿,3200,柿仔果,樹果型,食材獲取S,3,22,好眠番茄,1
92,勾魂眼,勾魂眼,3600,異奇果,技能型,夢之碎片獲取Sn,1,10,純粹油,1
93,溶食獸,吞食獸,3500,零餘果,技能型,夢之碎片獲取Sn,2,18,萌綠大豆,1
94,吞食獸,吞食獸,3500,零餘果,技能型,夢之碎片獲取Sn,2,18,萌綠大豆,1
95,青綿鳥,七夕青鳥,3700,番荔果,樹果型,活力填充S,2,19,特選蛋,1
96,七夕青鳥,七夕青鳥,3700,番荔果,樹果型,活力填充S,2,19,特選蛋,1
97,阿勃梭魯,阿勃梭魯,3100,異奇果,食材型,能量填充S,1,14,放鬆可可,2
98,海豹球,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,28,純粹油,1
99,海魔獅,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,28,純粹油,1
100,帝牙海獅,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,28,純粹油,1
101,利歐路,路卡利歐,2700,櫻子果,技能型,夢之碎片獲取S,2,19,純粹油,1
102,路卡利歐,路卡利歐,2700,櫻子果,技能型,夢之碎片獲取S,2,19,純粹油,1
103,不良蛙,毒骷蛙,3400,零餘果,食材型,能量填充S,2,19,純粹油,2
104,毒骷蛙,毒骷蛙,3400,零餘果,食材型,能量填充S,2,19,純粹油,2
105,魔尼尼,魔牆人偶,2800,芒芒果,食材型,能量填充S,2,22,好眠番茄,2
106,魔牆人偶,魔牆人偶,2800,芒芒果,食材型,能量填充S,2,22,好眠番茄,2
107,皮寶寶,皮可西,2800,桃桃果,樹果型,揮指,3,34,特選蘋果,1
108,皮皮,皮可西,2800,桃桃果,樹果型,揮指,3,34,特選蘋果,1
109,皮可西,皮可西,2800,桃桃果,樹果型,揮指,3,34,特選蘋果,1
